Allied Properties,AP.UN,Office
American Hotel Income Properties,HOT.UN,Hotels
Artis,AX.UN,Diversified
Automotive Properties,APR.UN,Diversified
Boardwalk REIT,BEI.UN,Residential
Brookfield Property Partners,BPY.UN,Diversified
BTB REIT,BTB.UN,Diversified
Canadian Tire REIT,CRT.UN,Retail
CAP REIT,CAR.UN,Residential
Chartwell Retirement Residences,CSH.UN,Healthcare
Choice Properties REIT,CHP.UN,Retail
Cominar REIT,CUF.UN,Diversified
Crombie REIT,CRR.UN,Diversified
Dream Industrial REIT,DIR.UN,Industrial
Dream Office REIT,D.UN,Office
Firm Capital Property Trust,FCD.UN,Diversified
First Capital REIT,FCR.UN,Diversified
Fronsac REIT,FRO.UN,Diversified
Granite REIT,GRT.UN,Diversified
H&R REIT,HR.UN,Diversified
Inovalis REIT,INO.UN,Diversified
InterRent REIT,IIP.UN,Residential
Killam Apartment,KMP.UN,Residential
Melcor REIT,MR.UN,Diversified
Minto Apartment,MI.UN,Residential
Morguard North American Residential,MRG.UN,Residential
Morguard REIT,MRT.UN,Diversified
Nexus REIT,NXR.UN,Diversified
Northview Apartment REIT,NVU.UN,Residential
NorthWest Healthcare Properties,NWH.UN,Healthcare
Plaza Retail REIT,PLZ.UN,Retail
Pro REIT,PRV.UN,Diversified
RioCan REIT,REI.UN,Retail
Slate Office REIT,SOT.UN,Office
Slate Retail REIT,SRT.UN,Retail
SmartCentres REIT,SRU.UN,Retail
Summit Industrial Income REIT,SMU.UN,Industrial
True North Commercial REIT,TNT.UN,Diversified
